engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,soc-LiveJournal1,4847571,68993773,68993773,1,2,0.85,1e-06,51,yes,8.67001e-07,11.1487,6.87805,6.59435,0,6.59435,0.258675,0,100,129.301,0,129.301,873120,988848,988848,-1,0
OMP_CSR_t2,soc-LiveJournal1,4847571,68993773,68993773,1,2,0.85,1e-06,51,yes,8.67001e-07,11.1487,5.79154,5.51425,0,5.51425,0.251564,0,100,108.123,0,108.123,988848,989024,989024,-1,0
MPI_CSR_p1,soc-LiveJournal1,4847571,68993773,68993773,1,2,0.85,1e-06,51,yes,8.67001e-07,11.1487,12.1377,8.15072,1.53231,6.6184,0.26298,18.7997,81.2003,159.818,30.0454,129.773,989056,1083888,1083888,-1,0
Hybrid_p1_t2,soc-LiveJournal1,4847571,68993773,68993773,1,2,0.85,1e-06,51,yes,8.67001e-07,11.1487,10.9303,7.02784,1.49417,5.53366,0.258584,21.2608,78.7392,137.801,29.2975,108.503,1083888,1083888,1083888,-1,0
