engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0612453,0.0413458,0.0369538,0,0.0369538,0.00438467,0,100,0.68433,0,0.68433,21856,24928,24928,1.5161e-15,10
OMP_CSR_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0612453,0.0408731,0.0360773,0,0.0360773,0.00476984,0,100,0.668099,0,0.668099,27328,28688,28688,1.5161e-15,10
MPI_CSR_p1,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0612453,0.0754747,0.049284,0.009771,0.039513,0.00454088,19.8259,80.1741,0.912667,0.180944,0.731722,31088,59776,59776,1.5161e-15,10
Hybrid_p1_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0612453,0.0591441,0.036012,0.006544,0.029468,0.00432987,18.1717,81.8283,0.666889,0.121185,0.545704,59776,59792,59792,1.5161e-15,10
