engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
MPI_CSR_p2,web-Google,916428,5105039,5105039,2,2,0.85,1e-06,62,yes,8.72947e-07,0.838494,0.8795,0.552847,0.179782,0.373065,0.0650568,32.5193,67.4807,8.91689,2.89971,6.01718,133440,283680,283680,2.78718e-14,10
Hybrid_p2_t2,web-Google,916428,5105039,5105039,2,2,0.85,1e-06,62,yes,8.72947e-07,0.838494,0.723798,0.418051,0.174597,0.243454,0.0634889,41.7645,58.2355,6.74276,2.81608,3.92668,298000,305264,305264,2.78718e-14,10
