engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0611287,0.0410372,0.0367184,0,0.0367184,0.00431146,0,100,0.67997,0,0.67997,23376,26448,26448,-1,0
OMP_CSR_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0611287,0.0321863,0.0278674,0,0.0278674,0.00431542,0,100,0.516063,0,0.516063,26448,28432,28432,-1,0
MPI_CSR_p1,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0611287,0.0657349,0.043794,0.005769,0.038025,0.0043473,13.173,86.827,0.811,0.106833,0.704167,28432,60528,60528,-1,0
Hybrid_p1_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0611287,0.0543585,0.034697,0.005557,0.02914,0.00428379,16.0158,83.9842,0.642537,0.102907,0.53963,60528,61744,61744,-1,0
