engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.354746,0.234338,0.2176,0,0.2176,0.0156622,0,100,3.45397,0,3.45397,60960,74240,74240,4.46353e-15,10
OMP_CSR_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.354746,0.136808,0.119352,0,0.119352,0.01609,0,100,1.89448,0,1.89448,83072,83168,83168,4.46353e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.354746,0.368999,0.263457,0.049541,0.213916,0.0156078,18.8042,81.1958,4.18186,0.786365,3.39549,92000,125456,125456,4.46353e-15,10
Hybrid_p1_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.354746,0.26866,0.166235,0.047952,0.118283,0.0154848,28.8459,71.1541,2.63865,0.761143,1.87751,129872,129872,129872,4.46353e-15,10
