engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.363179,0.235364,0.218465,0,0.218465,0.0156442,0,100,3.4677,0,3.4677,60992,74272,74272,4.46353e-15,10
OMP_CSR_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.363179,0.138309,0.120723,0,0.120723,0.0162144,0,100,1.91624,0,1.91624,83104,83216,83216,4.46353e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.363179,0.375361,0.264739,0.049998,0.214741,0.0158105,18.8858,81.1142,4.20221,0.793619,3.40859,87632,117840,117840,4.46353e-15,10
Hybrid_p1_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.363179,0.270189,0.166991,0.048359,0.118632,0.0155542,28.959,71.041,2.65065,0.767603,1.88305,122256,122256,122256,4.46353e-15,10
