engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0690978,0.0412435,0.0368982,0,0.0368982,0.00433408,0,100,0.683299,0,0.683299,23552,26592,26592,-1,0
OMP_CSR_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0690978,0.0325239,0.0282024,0,0.0282024,0.00431746,0,100,0.522266,0,0.522266,26592,28512,28512,-1,0
MPI_CSR_p1,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0690978,0.0672213,0.044197,0.00606,0.038137,0.00431721,13.7113,86.2887,0.818463,0.112222,0.706241,28512,54592,54592,-1,0
Hybrid_p1_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0690978,0.0554075,0.034405,0.005475,0.02893,0.00427408,15.9134,84.0866,0.63713,0.101389,0.535741,54592,55808,55808,-1,0
