engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0614125,0.0407112,0.0364123,0,0.0364123,0.00429325,0,100,0.674301,0,0.674301,23280,26352,26352,-1,0
OMP_CSR_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0614125,0.0318374,0.027565,0,0.027565,0.00426904,0,100,0.510462,0,0.510462,26352,28320,28320,-1,0
MPI_CSR_p1,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0614125,0.064584,0.043372,0.005617,0.037755,0.00426292,12.9508,87.0492,0.803185,0.104019,0.699167,28320,52576,52576,-1,0
Hybrid_p1_t2,soc-Epinions1,75888,508837,508837,1,2,0.85,1e-06,54,yes,9.77819e-07,0.0614125,0.0561201,0.034856,0.005723,0.029133,0.00428291,16.419,83.581,0.645481,0.105981,0.5395,52576,52576,52576,-1,0
