engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.334372,0.231399,0.214846,0,0.214846,0.0154313,0,100,3.41026,0,3.41026,60864,74176,74176,4.46353e-15,10
OMP_CSR_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.334372,0.136964,0.119326,0,0.119326,0.016149,0,100,1.89406,0,1.89406,83008,83104,83104,4.46353e-15,10
MPI_CSR_p1,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.334372,0.375178,0.265264,0.049206,0.216058,0.0158127,18.5498,81.4502,4.21054,0.781048,3.42949,91936,118800,118800,4.46353e-15,10
Hybrid_p1_t2,web-Stanford,281903,2312497,2312497,1,2,0.85,1e-06,63,yes,9.22275e-07,0.334372,0.275513,0.169228,0.049361,0.119867,0.0157302,29.1683,70.8317,2.68616,0.783508,1.90265,118800,118800,118800,4.46353e-15,10
