engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
MPI_CSR_p2,web-Google,916428,5105039,5105039,2,2,0.85,1e-06,62,yes,8.72947e-07,1.78884,5.72193,2.97703,1.53953,1.4375,0.532594,51.7137,48.2863,48.0166,24.8312,23.1854,80464,95068,95068,-1,0
Hybrid_p2_t2,web-Google,916428,5105039,5105039,2,2,0.85,1e-06,62,yes,8.72947e-07,1.78884,5.39779,2.95886,1.54009,1.41877,0.512007,52.0501,47.9499,47.7235,24.8401,22.8834,95068,95092,95092,-1,0
