engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
MPI_CSR_p2,soc-Epinions1,75888,508837,508837,2,2,0.85,1e-06,54,yes,9.77819e-07,0.103872,0.299974,0.187206,0.0907078,0.0964977,0.0314348,48.4536,51.5464,3.46677,1.67977,1.787,15372,24004,24004,1.47111e-15,10
Hybrid_p2_t2,soc-Epinions1,75888,508837,508837,2,2,0.85,1e-06,54,yes,9.77819e-07,0.103872,0.324032,0.213243,0.093597,0.119646,0.0323874,43.8921,56.1079,3.94895,1.73328,2.21567,24004,24004,24004,1.47111e-15,10
