engine,dataset,num_nodes,num_edges,csr_nnz,mpi_ranks,omp_threads,damping,tol,iterations,converged,final_error,load_time_s,total_time_s,spmv_time_s,comm_time_s,comp_time_s,damp_time_s,comm_pct,comp_pct,avg_spmv_ms,avg_comm_ms,avg_comp_ms,mem_before_kb,mem_after_kb,mem_peak_rss_kb,l1_vs_ref,top10_match
CSR_Serial,soc-Epinions1,75888,508837,508837,1,1,0.85,1e-06,54,yes,9.77819e-07,0.184418,0.205864,0.184546,0,0.184546,0.0212674,0,100,3.41751,0,3.41751,15208,17052,17052,1.47111e-15,10
OMP_CSR_t1,soc-Epinions1,75888,508837,508837,1,1,0.85,1e-06,54,yes,9.77819e-07,0.184418,0.207741,0.186359,0,0.186359,0.0213236,0,100,3.45108,0,3.45108,18108,18108,18108,1.47111e-15,10
MPI_CSR_p1,soc-Epinions1,75888,508837,508837,1,1,0.85,1e-06,54,yes,9.77819e-07,0.184418,0.378878,0.251788,0.0906984,0.16109,0.0329257,36.0217,63.9783,4.66274,1.6796,2.98314,18108,24884,24884,1.47111e-15,10
Hybrid_p1_t1,soc-Epinions1,75888,508837,508837,1,1,0.85,1e-06,54,yes,9.77819e-07,0.184418,0.315201,0.205915,0.0777821,0.128133,0.0299798,37.7739,62.2261,3.81325,1.44041,2.37284,24884,24884,24884,1.47111e-15,10
